pixel_id,point_data
49184,POINT(-68.25 -55.75)
49185,POINT(-67.75 -55.75)
49186,POINT(-67.25 -55.75)
49899,POINT(-70.75 -55.25)
49900,POINT(-70.25 -55.25)
49901,POINT(-69.75 -55.25)
49902,POINT(-69.25 -55.25)
49903,POINT(-68.75 -55.25)
49904,POINT(-68.25 -55.25)
49905,POINT(-67.75 -55.25)
49906,POINT(-67.25 -55.25)
49907,POINT(-66.75 -55.25)
50617,POINT(-71.75 -54.75)
50618,POINT(-71.25 -54.75)
50619,POINT(-70.75 -54.75)
50620,POINT(-70.25 -54.75)
50621,POINT(-69.75 -54.75)
50622,POINT(-69.25 -54.75)
50623,POINT(-68.75 -54.75)
50624,POINT(-68.25 -54.75)
50625,POINT(-67.75 -54.75)
50626,POINT(-67.25 -54.75)
50627,POINT(-66.75 -54.75)
50628,POINT(-66.25 -54.75)
50629,POINT(-65.75 -54.75)
50630,POINT(-65.25 -54.75)
50631,POINT(-64.75 -54.75)
50632,POINT(-64.25 -54.75)
50688,POINT(-36.25 -54.75)
50689,POINT(-35.75 -54.75)
51078,POINT(158.75 -54.75)
51079,POINT(159.25 -54.75)
51335,POINT(-72.75 -54.25)
51336,POINT(-72.25 -54.25)
51337,POINT(-71.75 -54.25)
51338,POINT(-71.25 -54.25)
51339,POINT(-70.75 -54.25)
51340,POINT(-70.25 -54.25)
51341,POINT(-69.75 -54.25)
51342,POINT(-69.25 -54.25)
51343,POINT(-68.75 -54.25)
51344,POINT(-68.25 -54.25)
51345,POINT(-67.75 -54.25)
51346,POINT(-67.25 -54.25)
51347,POINT(-66.75 -54.25)
51405,POINT(-37.75 -54.25)
51406,POINT(-37.25 -54.25)
51407,POINT(-36.75 -54.25)
51408,POINT(-36.25 -54.25)
51798,POINT(158.75 -54.25)
51799,POINT(159.25 -54.25)
52053,POINT(-73.75 -53.75)
52054,POINT(-73.25 -53.75)
52055,POINT(-72.75 -53.75)
52056,POINT(-72.25 -53.75)
52057,POINT(-71.75 -53.75)
52058,POINT(-71.25 -53.75)
52059,POINT(-70.75 -53.75)
52060,POINT(-70.25 -53.75)
52061,POINT(-69.75 -53.75)
52062,POINT(-69.25 -53.75)
52063,POINT(-68.75 -53.75)
52064,POINT(-68.25 -53.75)
52065,POINT(-67.75 -53.75)
52772,POINT(-74.25 -53.25)
52773,POINT(-73.75 -53.25)
52774,POINT(-73.25 -53.25)
52775,POINT(-72.75 -53.25)
52776,POINT(-72.25 -53.25)
52777,POINT(-71.75 -53.25)
52778,POINT(-71.25 -53.25)
